run_id,run_date,shift,line_id,product_sku,planned_units,actual_units,downtime_min,downtime_reason,reject_units,filler_pressure_psi,fill_temp_c,operator_id,qa_pass
50001,2026-06-01,A,LINE-1,SPRING-1L,9559,8290,60,Filler Jam,166,38.4,3.8,OP-1001,true
50002,2026-06-01,A,LINE-2,COLA-12OZ,11078,10999,1,None,1,38.5,4.1,OP-1012,true
50003,2026-06-01,A,LINE-3,TONIC-10OZ,8236,7480,32,Capper Fault,203,39.5,4.7,OP-1019,true
50004,2026-06-01,B,LINE-1,TONIC-10OZ,9887,9843,3,None,21,38.8,4.7,OP-1005,true
50005,2026-06-01,B,LINE-2,TONIC-10OZ,11387,8459,118,Planned Maintenance,48,38.2,4.5,OP-1015,true
50006,2026-06-01,B,LINE-3,COLA-12OZ,8733,8441,1,None,21,41.5,4.7,OP-1021,true
50007,2026-06-01,C,LINE-1,LEMON-16OZ,10101,8854,35,Changeover,36,37.9,3.8,OP-1006,true
50008,2026-06-01,C,LINE-2,TONIC-10OZ,11247,10892,2,None,75,37.6,3.4,OP-1017,true
50009,2026-06-01,C,LINE-3,SPRING-1L,8477,7358,43,Changeover,34,35.3,3.9,OP-1024,true
50010,2026-06-02,A,LINE-1,SPRING-1L,10017,9527,29,Changeover,32,37.8,3.7,OP-1000,true
50011,2026-06-02,A,LINE-2,COLA-12OZ,11148,10421,23,Changeover,68,38.7,4.8,OP-1009,true
50012,2026-06-02,A,LINE-3,SPRING-1L,8954,8827,7,None,35,38.1,4.4,OP-1019,true
50013,2026-06-02,B,LINE-1,ENERGY-8OZ,9589,9137,14,Label Misfeed,17,37.1,3.9,OP-1006,true
50014,2026-06-02,B,LINE-2,ENERGY-8OZ,10975,10772,5,None,104,39.9,4.6,OP-1014,true
50015,2026-06-02,B,LINE-3,LEMON-16OZ,8282,7783,25,Changeover,51,34.0,3.6,OP-1021,true
50016,2026-06-02,C,LINE-1,COLA-12OZ,9440,9161,3,None,9,37.9,4.3,OP-1009,true
50017,2026-06-02,C,LINE-2,COLA-12OZ,11495,10550,22,Changeover,70,40.5,4.0,OP-1015,true
50018,2026-06-02,C,LINE-3,TONIC-10OZ,8874,8415,7,None,88,35.5,4.7,OP-1026,true
50019,2026-06-03,A,LINE-1,ENERGY-8OZ,9608,9428,8,None,49,38.5,4.1,OP-1003,true
50020,2026-06-03,A,LINE-2,LEMON-16OZ,11214,11148,6,None,30,37.6,3.4,OP-1009,true
50021,2026-06-03,A,LINE-3,COLA-12OZ,8764,6841,94,Planned Maintenance,70,38.2,4.4,OP-1021,true
50022,2026-06-03,B,LINE-1,COLA-12OZ,9966,9200,37,Changeover,31,38.2,4.7,OP-1006,true
50023,2026-06-03,B,LINE-2,SPRING-1L,11084,8948,87,Planned Maintenance,62,38.8,4.1,OP-1013,true
50024,2026-06-03,B,LINE-3,COLA-12OZ,8491,8203,0,None,38,38.7,4.1,OP-1024,true
50025,2026-06-03,C,LINE-1,SPRING-1L,9982,7726,93,Filler Jam,198,37.8,3.9,OP-1007,true
50026,2026-06-03,C,LINE-2,TONIC-10OZ,11404,9896,44,Changeover,63,36.9,4.1,OP-1017,true
50027,2026-06-03,C,LINE-3,TONIC-10OZ,8691,7833,31,Sensor Fault,9,38.8,4.7,OP-1025,true
50028,2026-06-04,A,LINE-1,ENERGY-8OZ,9754,8834,43,Changeover,22,38.9,4.0,OP-1002,true
50029,2026-06-04,A,LINE-2,ENERGY-8OZ,10982,10812,6,None,20,39.7,4.2,OP-1012,true
50030,2026-06-04,A,LINE-3,LEMON-16OZ,8623,8583,7,None,44,38.7,3.5,OP-1020,true
50031,2026-06-04,B,LINE-1,ENERGY-8OZ,9721,9446,4,None,20,37.9,3.9,OP-1006,true
50032,2026-06-04,B,LINE-2,ENERGY-8OZ,11312,11214,0,None,0,39.0,4.1,OP-1014,true
50033,2026-06-04,B,LINE-3,TONIC-10OZ,8715,7973,23,Changeover,5,37.5,4.1,OP-1022,true
50034,2026-06-04,C,LINE-1,ENERGY-8OZ,9980,9128,29,Changeover,44,38.8,4.4,OP-1007,true
50035,2026-06-04,C,LINE-2,COLA-12OZ,11074,9121,71,Planned Maintenance,0,39.4,4.5,OP-1017,true
50036,2026-06-05,A,LINE-1,ENERGY-8OZ,10063,9122,43,Changeover,1,38.1,3.5,OP-1002,true
50037,2026-06-05,A,LINE-3,ENERGY-8OZ,8707,8600,3,None,32,38.7,4.5,OP-1019,true
50038,2026-06-05,B,LINE-1,TONIC-10OZ,9987,9842,2,None,5,40.5,4.0,OP-1003,true
50039,2026-06-05,B,LINE-2,ENERGY-8OZ,10956,10157,29,Changeover,58,38.4,3.9,OP-1012,true
50040,2026-06-05,B,LINE-3,ENERGY-8OZ,8960,8190,36,Sensor Fault,26,38.6,4.3,OP-1021,true
50041,2026-06-05,C,LINE-1,TONIC-10OZ,9908,9184,7,None,57,40.9,3.7,OP-1008,true
50042,2026-06-05,C,LINE-2,ENERGY-8OZ,11061,10651,5,None,38,38.0,4.2,OP-1016,true
50043,2026-06-05,C,LINE-3,ENERGY-8OZ,8979,8756,1,None,49,37.3,4.1,OP-1025,true
50044,2026-06-06,A,LINE-1,ENERGY-8OZ,9995,10059,0,None,28,39.1,4.3,OP-1002,true
50045,2026-06-06,A,LINE-2,ENERGY-8OZ,10900,10607,7,None,35,37.4,4.3,OP-1011,true
50046,2026-06-06,A,LINE-3,SPRING-1L,8870,8378,30,Changeover,59,38.7,3.8,OP-1021,true
50047,2026-06-06,B,LINE-1,LEMON-16OZ,9569,8848,35,Changeover,60,38.1,4.8,OP-1006,true
50048,2026-06-06,B,LINE-2,COLA-12OZ,11309,10661,20,Label Misfeed,38,38.0,4.7,OP-1013,true
50049,2026-06-06,B,LINE-3,SPRING-1L,8715,8549,19,Label Misfeed,25,39.1,4.4,OP-1021,true
50050,2026-06-06,C,LINE-2,SPRING-1L,10889,10573,5,None,0,37.1,4.5,OP-1015,true
50051,2026-06-06,C,LINE-3,SPRING-1L,8665,8221,1,None,11,38.1,3.5,OP-1026,true
50052,2026-06-07,A,LINE-1,TONIC-10OZ,9663,9191,24,Changeover,23,37.9,4.2,OP-1001,true
50053,2026-06-07,A,LINE-3,SPRING-1L,8417,8615,2,None,25,37.4,4.7,OP-1019,true
50054,2026-06-08,A,LINE-1,TONIC-10OZ,10051,9823,7,None,40,35.7,4.6,OP-1001,true
50055,2026-06-08,A,LINE-2,ENERGY-8OZ,11082,8584,97,Planned Maintenance,39,38.5,4.0,OP-1009,true
50056,2026-06-08,A,LINE-3,TONIC-10OZ,8558,8039,38,Changeover,45,36.8,4.2,OP-1019,true
50057,2026-06-08,B,LINE-1,COLA-12OZ,9802,9673,0,None,75,37.4,4.2,OP-1006,true
50058,2026-06-08,B,LINE-2,ENERGY-8OZ,11595,11364,5,None,54,37.8,4.0,OP-1015,true
50059,2026-06-08,B,LINE-3,TONIC-10OZ,8972,8656,2,None,2,37.9,4.3,OP-1024,true
50060,2026-06-08,C,LINE-1,TONIC-10OZ,9998,9755,5,None,43,37.4,4.2,OP-1008,true
50061,2026-06-08,C,LINE-2,SPRING-1L,11076,10748,3,None,42,38.7,3.9,OP-1018,true
50062,2026-06-08,C,LINE-3,LEMON-16OZ,8494,8234,0,None,23,37.9,3.8,OP-1024,true
50063,2026-06-09,A,LINE-1,LEMON-16OZ,10038,9865,14,Label Misfeed,16,38.7,4.2,OP-1003,true
50064,2026-06-09,A,LINE-2,COLA-12OZ,11541,11432,2,None,44,38.7,4.3,OP-1009,true
50065,2026-06-09,A,LINE-3,SPRING-1L,8726,8603,1,None,60,37.5,4.3,OP-1020,true
50066,2026-06-09,B,LINE-1,COLA-12OZ,9520,8581,29,Sensor Fault,27,38.0,4.5,OP-1004,true
50067,2026-06-09,B,LINE-2,LEMON-16OZ,11105,9355,67,Sensor Fault,67,36.7,4.2,OP-1014,true
50068,2026-06-09,C,LINE-1,COLA-12OZ,9876,8449,45,Changeover,0,35.5,4.3,OP-1007,true
50069,2026-06-09,C,LINE-2,LEMON-16OZ,11348,10272,25,Label Misfeed,48,36.5,5.1,OP-1018,true
50070,2026-06-09,C,LINE-3,TONIC-10OZ,8277,7641,23,Changeover,41,38.5,4.0,OP-1027,true
50071,2026-06-10,A,LINE-1,ENERGY-8OZ,9807,9179,22,Changeover,67,38.8,4.3,OP-1002,true
50072,2026-06-10,A,LINE-2,LEMON-16OZ,11267,11188,0,None,16,38.6,4.5,OP-1009,true
50073,2026-06-10,A,LINE-3,SPRING-1L,8435,8299,8,None,30,38.9,4.0,OP-1019,true
50074,2026-06-10,B,LINE-1,TONIC-10OZ,9589,9442,3,None,65,35.8,3.7,OP-1004,true
50075,2026-06-10,B,LINE-2,ENERGY-8OZ,10943,10810,8,None,54,35.9,4.3,OP-1012,true
50076,2026-06-10,B,LINE-3,LEMON-16OZ,8702,8650,0,None,64,35.4,5.0,OP-1024,true
50077,2026-06-10,C,LINE-1,ENERGY-8OZ,10008,9513,0,None,73,39.2,4.8,OP-1008,true
50078,2026-06-10,C,LINE-2,TONIC-10OZ,11055,10678,1,None,57,37.4,3.2,OP-1018,true
50079,2026-06-10,C,LINE-3,SPRING-1L,8772,8170,25,Changeover,22,38.8,3.8,OP-1027,true
50080,2026-06-11,A,LINE-1,COLA-12OZ,9408,9462,0,None,62,38.0,4.4,OP-1000,true
50081,2026-06-11,A,LINE-2,LEMON-16OZ,10842,9384,67,Planned Maintenance,0,40.4,4.1,OP-1012,true
50082,2026-06-11,A,LINE-3,TONIC-10OZ,8283,8114,8,None,40,39.0,3.9,OP-1021,true
50083,2026-06-11,B,LINE-1,COLA-12OZ,9421,9186,1,None,48,36.7,3.9,OP-1003,true
50084,2026-06-11,B,LINE-2,ENERGY-8OZ,10802,9910,31,Capper Fault,184,38.1,3.8,OP-1015,true
50085,2026-06-11,B,LINE-3,SPRING-1L,8619,6344,115,Filler Jam,167,38.6,4.8,OP-1022,true
50086,2026-06-11,C,LINE-1,SPRING-1L,9832,9426,6,None,51,38.8,4.5,OP-1007,true
50087,2026-06-11,C,LINE-2,TONIC-10OZ,10840,10620,2,None,36,38.9,4.9,OP-1017,true
50088,2026-06-11,C,LINE-3,ENERGY-8OZ,8240,7916,3,None,63,39.9,4.3,OP-1026,true
50089,2026-06-12,A,LINE-1,LEMON-16OZ,9597,9686,8,None,54,40.7,4.4,OP-1000,true
50090,2026-06-12,A,LINE-2,TONIC-10OZ,11433,10329,52,Sensor Fault,49,39.5,4.4,OP-1011,true
50091,2026-06-12,A,LINE-3,LEMON-16OZ,8650,6719,102,Planned Maintenance,0,36.1,4.1,OP-1019,true
50092,2026-06-12,B,LINE-1,ENERGY-8OZ,10014,9217,30,Label Misfeed,75,36.9,3.4,OP-1003,true
50093,2026-06-12,B,LINE-2,LEMON-16OZ,11232,11010,13,Label Misfeed,69,38.4,5.0,OP-1013,true
50094,2026-06-12,C,LINE-1,SPRING-1L,10149,9933,4,None,36,38.5,4.0,OP-1008,true
50095,2026-06-12,C,LINE-2,COLA-12OZ,10900,10541,4,None,97,40.9,4.8,OP-1015,true
50096,2026-06-12,C,LINE-3,ENERGY-8OZ,8404,8241,0,None,20,39.0,3.7,OP-1027,true
50097,2026-06-13,A,LINE-1,LEMON-16OZ,10165,10338,3,None,14,37.6,3.8,OP-1003,true
50098,2026-06-13,A,LINE-2,ENERGY-8OZ,11319,11272,2,None,95,38.1,3.5,OP-1011,true
50099,2026-06-13,A,LINE-3,ENERGY-8OZ,8206,8088,7,None,38,38.3,4.7,OP-1018,true
50100,2026-06-13,B,LINE-1,ENERGY-8OZ,10122,9868,8,None,51,39.1,4.9,OP-1005,true
50101,2026-06-13,B,LINE-2,ENERGY-8OZ,11268,10572,22,Capper Fault,249,36.3,4.6,OP-1012,true
50102,2026-06-13,B,LINE-3,SPRING-1L,8612,7850,22,Changeover,43,37.0,3.3,OP-1022,true
50103,2026-06-13,C,LINE-1,ENERGY-8OZ,9411,8889,12,Label Misfeed,30,39.8,4.4,OP-1009,true
50104,2026-06-13,C,LINE-2,LEMON-16OZ,11317,7984,112,Planned Maintenance,77,39.2,3.9,OP-1017,true
50105,2026-06-13,C,LINE-3,SPRING-1L,8260,6233,110,Planned Maintenance,20,38.7,4.5,OP-1026,true
50106,2026-06-14,A,LINE-1,SPRING-1L,10165,9438,28,Changeover,10,40.5,4.6,OP-1000,true
50107,2026-06-14,A,LINE-2,LEMON-16OZ,10957,9384,70,Planned Maintenance,28,36.0,4.1,OP-1009,true
50108,2026-06-15,A,LINE-1,LEMON-16OZ,9810,9099,40,Capper Fault,196,38.9,4.0,OP-1002,true
50109,2026-06-15,A,LINE-2,ENERGY-8OZ,11488,11360,0,None,49,37.1,4.2,OP-1012,true
50110,2026-06-15,A,LINE-3,LEMON-16OZ,8789,8618,7,None,55,41.1,5.0,OP-1018,true
50111,2026-06-15,B,LINE-1,COLA-12OZ,10175,9917,4,None,48,40.8,3.3,OP-1004,true
50112,2026-06-15,B,LINE-2,ENERGY-8OZ,10861,9152,67,Sensor Fault,0,38.5,4.2,OP-1013,true
50113,2026-06-15,B,LINE-3,LEMON-16OZ,8918,8125,39,Capper Fault,185,37.5,4.5,OP-1023,true
50114,2026-06-15,C,LINE-1,SPRING-1L,9771,9410,7,None,0,37.8,4.7,OP-1006,true
50115,2026-06-15,C,LINE-2,COLA-12OZ,11292,10323,25,Changeover,0,36.9,4.4,OP-1017,true
50116,2026-06-15,C,LINE-3,SPRING-1L,8595,8392,4,None,117,39.7,3.5,OP-1026,true
50117,2026-06-16,A,LINE-1,SPRING-1L,9925,9105,41,Changeover,9,37.4,4.4,OP-1002,true
50118,2026-06-16,A,LINE-2,LEMON-16OZ,11208,11094,3,None,8,39.0,3.6,OP-1011,true
50119,2026-06-16,A,LINE-3,LEMON-16OZ,8226,8453,3,None,49,38.2,4.1,OP-1020,true
50120,2026-06-16,B,LINE-1,ENERGY-8OZ,9967,9332,25,Capper Fault,245,37.7,4.6,OP-1005,true
50121,2026-06-16,B,LINE-2,LEMON-16OZ,11482,10687,20,Capper Fault,281,37.6,4.1,OP-1014,true
50122,2026-06-16,B,LINE-3,SPRING-1L,8259,7905,5,None,1,35.9,4.0,OP-1022,true
50123,2026-06-16,C,LINE-1,TONIC-10OZ,9891,9227,20,Changeover,0,37.7,4.6,OP-1008,true
50124,2026-06-16,C,LINE-2,ENERGY-8OZ,11380,10979,0,None,0,38.7,4.3,OP-1018,true
50125,2026-06-16,C,LINE-3,LEMON-16OZ,8323,7491,38,Capper Fault,195,37.1,4.4,OP-1027,true
50126,2026-06-17,A,LINE-1,LEMON-16OZ,9567,9291,16,Capper Fault,199,39.1,4.1,OP-1001,true
50127,2026-06-17,A,LINE-2,COLA-12OZ,11109,10536,28,Capper Fault,255,37.7,3.7,OP-1009,true
50128,2026-06-17,A,LINE-3,LEMON-16OZ,8607,7528,62,Sensor Fault,20,38.7,4.6,OP-1021,true
50129,2026-06-17,B,LINE-1,TONIC-10OZ,9865,9467,10,Label Misfeed,34,38.1,4.3,OP-1006,true
50130,2026-06-17,B,LINE-2,ENERGY-8OZ,11127,10291,32,Changeover,5,40.0,4.1,OP-1013,true
